index_col,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Mutual Fund,Axis Mutual Fund,Axis Mutual Fund,Axis Mutual Fund,Axis Mutual Fund,DSP Mutual Fund,DSP Mutual Fund,DSP Mutual Fund,DSP Mutual Fund,DSP Mutual Fund,DSP Mutual Fund,DSP Mutual Fund,DSP Mutual Fund,Edelweiss Mutual Fund,Edelweiss Mutual Fund,Edelweiss Mutual Fund,Edelweiss Mutual Fund,Franklin Templeton Mutual Fund,Franklin Templeton Mutual Fund,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,ICICI Prudential Mutual Fund,IDFC Mutual Fund,IDFC Mutual Fund,IDFC Mutual Fund,IDFC Mutual Fund,Kotak Mahindra Mutual Fund,Kotak Mahindra Mutual Fund,Kotak Mahindra Mutual Fund,Kotak Mahindra Mutual Fund,LIC Mutual Fund,LIC Mutual Fund,LIC Mutual Fund,LIC Mutual Fund,Motilal Oswal Mutual Fund,Motilal Oswal Mutual Fund,Motilal Oswal Mutual Fund,Motilal Oswal Mutual Fund,Navi Mutual Fund,Navi Mutual Fund,Nippon India Mutual Fund,Nippon India Mutual Fund,Nippon India Mutual Fund,Nippon India Mutual Fund,Nippon India Mutual Fund,Nippon India Mutual Fund,Tata Mutual Fund,Tata Mutual Fund,Taurus Mutual Fund,Taurus Mutual Fund,Taurus Mutual Fund,Taurus Mutual Fund,UTI Mutual Fund,UTI Mutual Fund,UTI Mutual Fund,UTI Mutual Fund
2017-01-02,,,,,85.40630,85.34590,12.14120,12.01410,,,,,,,,,,,,,,,,,70.04380,69.04390,83.66450,84.98600,11.42770,11.14040,17.60170,17.74010,17.65470,17.80530,,,,,49.18090,18.11990,48.16280,17.76580,,,,,,,14.73660,14.73660,14.48230,14.48230,,,54.41580,51.84040,16.58190,16.56760,16.16160,16.16160,28.44340,55.87680,55.52470,28.26640
2017-01-03,,,,,87.65020,87.56810,12.46020,12.32700,,,,,,,,,,,,,,,,,71.91400,70.86400,85.86670,87.25400,11.73240,11.43340,18.07380,18.21590,18.12970,18.28430,,,,,50.44010,18.58380,49.38860,18.21790,,,,,,,15.13380,15.13380,14.86620,14.86620,,,55.87570,53.20610,17.15680,16.95220,16.53050,16.53050,29.21120,57.38510,57.01920,29.02720
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,,,,,94.22180,94.06230,12.48050,12.32770,,,,,,,,,,,,,,,,,77.20700,75.99940,92.22210,93.81500,12.61470,12.27950,19.44330,19.59610,19.50840,19.67470,,,,,54.25670,19.98990,53.06630,19.57440,,,,,,,16.29620,16.29620,15.97650,15.97650,,,60.15050,57.18440,18.41710,18.19760,17.72240,17.72240,31.42540,61.73490,61.32580,31.21960
2017-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-08,,,,,99.44790,99.33920,13.17270,13.01920,,,,,,,,,,,,,,,,,81.54360,80.21110,97.36590,99.12000,13.32800,12.96460,20.56110,20.72280,20.63340,20.80930,,,,,57.34380,21.12700,56.03340,20.66890,,,,,,,17.22730,17.22730,16.87560,16.87560,,,63.56260,60.38860,19.39700,19.16580,18.64970,18.64970,33.22380,65.26770,64.82440,33.00060
2017-01-09,,,,,98.09660,97.96460,12.99380,12.83900,,,,,,,,,,,,,,,,,80.45550,79.11230,96.03610,97.80340,13.15100,12.78770,20.28580,20.44530,20.35880,20.53240,,,,,56.57550,20.84380,55.25640,20.38230,,,,,,,17.00170,17.00170,16.64660,16.64660,,,62.69410,59.54950,19.12270,18.89470,18.37820,18.37820,32.82000,64.47470,64.03290,32.59770
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-11,,,,,102.64210,102.45250,13.59590,13.42720,,,,,10.22130,10.22130,10.21990,10.21990,,,,,,,,,84.16760,82.70120,100.42300,102.34630,13.76180,13.37240,21.23710,21.40410,21.31710,21.49890,,,,,59.19840,21.80990,57.76430,21.30740,,,,,,,17.79750,17.79750,17.40760,17.40760,,,65.63830,62.31850,19.97590,19.73760,19.18210,19.18210,34.38580,67.54910,67.08000,34.14890
