,fund_house,scheme_type,scheme_category,scheme_code,scheme_name,date,nav
0,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,02-01-2013,103.00590
1,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,02-01-2013,100.05500
2,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,02-01-2013,101.73770
3,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,08-05-2008,10.00160
4,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,23-09-2008,10.00280
5,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,24-07-2008,10.00340
6,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,14-10-2008,10.00290
7,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,19-07-2007,10.00210
8,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,05-05-2008,10.00800
9,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,03-04-2006,12.43480
10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,02-01-2013,137.49900
11,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,17-07-2014,1204.78050
12,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,03-01-2013,1001.04900
13,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,02-01-2013,1053.22710
14,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,25-02-2013,1000.75360
15,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,11-01-2013,1002.12840
16,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128953,Axis Banking & PSU Debt Fund - Bonus Option,31-03-2015,1278.38050
17,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,12-06-2012,1000.00000
18,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,12-06-2012,1001.23950
19,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,12-06-2012,1001.23950
20,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,12-06-2012,1001.23950
21,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148629,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,18-12-2020,10.00720
22,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148628,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,18-12-2020,10.00720
23,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148630,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,18-12-2020,10.00720
24,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148625,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,18-12-2020,10.00700
25,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148626,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,18-12-2020,10.00700
26,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148627,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,18-12-2020,10.00700
27,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,24-08-2022,10.01300
28,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,24-08-2022,10.01300
29,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,24-08-2022,10.01270
30,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),24-08-2022,10.01270
31,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,16-09-2013,10.00980
32,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,16-09-2013,10.00980
33,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,16-09-2013,10.00980
34,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,16-09-2013,10.00980
35,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,16-09-2013,10.00980
36,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,16-09-2013,10.00980
37,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,16-09-2013,10.00980
38,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,16-09-2013,10.00980
39,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,16-09-2013,10.00980
40,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,16-09-2013,10.00980
41,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,16-09-2013,10.00980
42,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,16-09-2013,10.00980
43,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,28-11-2016,13.42880
44,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,02-01-2018,14.30960
45,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,26-02-2019,15.38250
46,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,28-11-2016,10.45320
47,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,28-11-2016,10.63600
48,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,28-11-2016,13.30170
49,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,28-11-2016,13.30150
50,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,22-01-2019,15.03630
51,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,28-11-2016,10.43660
52,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,28-11-2016,10.48610
53,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,25-04-2014,10.00000
54,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,129006,Franklin India Banking & PSU Debt Fund - Growth,25-04-2014,10.00000
55,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,25-04-2014,10.00000
56,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,129007,Franklin India Banking and PSU Debt Fund - IDCW ,25-04-2014,10.00000
57,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128628,HDFC Banking and PSU Debt Fund - Growth Option,26-03-2014,10.00220
58,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,26-03-2014,10.00220
59,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128627,HDFC Banking and PSU Debt Fund - IDCW Option,26-03-2014,10.00220
60,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,26-03-2014,10.00220
